GEOGRAPHY,YEAR,VIOLATIONS,INCIDENTS,RATES
"Pictou County, Nova Scotia, Royal Canadian Mounted Police, rural [12010]",2010,"Sexual assault, level 2, weapon or bodily harm [1320]",0,0
"Pictou County, Nova Scotia, Royal Canadian Mounted Police, rural [12010]",2010,"Sexual assault, level 1 [1330]",13,58.47
"Pictou County, Nova Scotia, Royal Canadian Mounted Police, rural [12010]",2010,Total sexual violations against children [130],2,9
"Pictou County, Nova Scotia, Royal Canadian Mounted Police, rural [12010]",2010,"Assault, level 3, aggravated [1410]",2,9
"Pictou County, Nova Scotia, Royal Canadian Mounted Police, rural [12010]",2010,"Assault, level 2, weapon or bodily harm [1420]",25,112.45
"Pictou County, Nova Scotia, Royal Canadian Mounted Police, rural [12010]",2010,"Assault, level 1 [1430]",101,454.3
"Pictou County, Nova Scotia, Royal Canadian Mounted Police, rural [12010]",2010,Total robbery [160],2,9
"Pictou County, Nova Scotia, Royal Canadian Mounted Police, rural [12010]",2010,Total breaking and entering [210],104,467.79
"Pictou County, Nova Scotia, Royal Canadian Mounted Police, rural [12010]",2010,Total theft of motor vehicle [220],29,130.44
"Pictou County, Nova Scotia, Royal Canadian Mounted Police, rural [12010]",2010,Total impaired driving [910],80,359.84
"Pictou County, Nova Scotia, Royal Canadian Mounted Police, rural [12010]",2010,Total Drug violations [401],40,179.92
"Pictou County, Nova Scotia, Royal Canadian Mounted Police, rural [12010]",2010,"Possession, cocaine [4120]",0,0
"Pictou County, Nova Scotia, Royal Canadian Mounted Police, rural [12010]",2010,"Total, possession, other Controlled Drugs and Substances Act drugs [410]",2,9
"Pictou County, Nova Scotia, Royal Canadian Mounted Police, rural [12010]",2010,"Total cannabis, trafficking, production or distribution (pre-legalization) [420]",9,40.48
"Pictou County, Nova Scotia, Royal Canadian Mounted Police, rural [12010]",2010,"Total cocaine, trafficking, production or distribution [430]",0,0
"Pictou County, Nova Scotia, Royal Canadian Mounted Police, rural [12010]",2010,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution [440]",0,0
"Digby, Nova Scotia, municipal [12012]",2010,Homicide [110],,
"Digby, Nova Scotia, municipal [12012]",2010,Attempted murder [1210],,
"Digby, Nova Scotia, municipal [12012]",2010,"Sexual assault, level 3, aggravated [1310]",,
"Digby, Nova Scotia, municipal [12012]",2010,"Sexual assault, level 2, weapon or bodily harm [1320]",,
"Digby, Nova Scotia, municipal [12012]",2010,"Sexual assault, level 1 [1330]",,
"Digby, Nova Scotia, municipal [12012]",2010,Total sexual violations against children [130],,
"Digby, Nova Scotia, municipal [12012]",2010,"Assault, level 3, aggravated [1410]",,
"Digby, Nova Scotia, municipal [12012]",2010,"Assault, level 2, weapon or bodily harm [1420]",,
"Digby, Nova Scotia, municipal [12012]",2010,"Assault, level 1 [1430]",,
"Digby, Nova Scotia, municipal [12012]",2010,Total robbery [160],,
"Digby, Nova Scotia, municipal [12012]",2010,Total breaking and entering [210],,
"Digby, Nova Scotia, municipal [12012]",2010,Total theft of motor vehicle [220],,
"Digby, Nova Scotia, municipal [12012]",2010,Total impaired driving [910],,
"Digby, Nova Scotia, municipal [12012]",2010,Total Drug violations [401],,
"Digby, Nova Scotia, municipal [12012]",2010,"Possession, cocaine [4120]",,
"Digby, Nova Scotia, municipal [12012]",2010,"Total, possession, other Controlled Drugs and Substances Act drugs [410]",,
"Digby, Nova Scotia, municipal [12012]",2010,"Total cannabis, trafficking, production or distribution (pre-legalization) [420]",,
"Digby, Nova Scotia, municipal [12012]",2010,"Total cocaine, trafficking, production or distribution [430]",,
"Digby, Nova Scotia, municipal [12012]",2010,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution [440]",,
"Glace Bay, Nova Scotia, municipal [12014]",2010,Homicide [110],,
"Glace Bay, Nova Scotia, municipal [12014]",2010,Attempted murder [1210],,
"Glace Bay, Nova Scotia, municipal [12014]",2010,"Sexual assault, level 3, aggravated [1310]",,
"Glace Bay, Nova Scotia, municipal [12014]",2010,"Sexual assault, level 2, weapon or bodily harm [1320]",,
"Glace Bay, Nova Scotia, municipal [12014]",2010,"Sexual assault, level 1 [1330]",,
"Glace Bay, Nova Scotia, municipal [12014]",2010,Total sexual violations against children [130],,
"Glace Bay, Nova Scotia, municipal [12014]",2010,"Assault, level 3, aggravated [1410]",,
"Glace Bay, Nova Scotia, municipal [12014]",2010,"Assault, level 2, weapon or bodily harm [1420]",,
"Glace Bay, Nova Scotia, municipal [12014]",2010,"Assault, level 1 [1430]",,
"Glace Bay, Nova Scotia, municipal [12014]",2010,Total robbery [160],,
"Glace Bay, Nova Scotia, municipal [12014]",2010,Total breaking and entering [210],,
"Glace Bay, Nova Scotia, municipal [12014]",2010,Total theft of motor vehicle [220],,
"Glace Bay, Nova Scotia, municipal [12014]",2010,Total impaired driving [910],,
"Glace Bay, Nova Scotia, municipal [12014]",2010,Total Drug violations [401],,
"Glace Bay, Nova Scotia, municipal [12014]",2010,"Possession, cocaine [4120]",,
"Glace Bay, Nova Scotia, municipal [12014]",2010,"Total, possession, other Controlled Drugs and Substances Act drugs [410]",,
"Glace Bay, Nova Scotia, municipal [12014]",2010,"Total cannabis, trafficking, production or distribution (pre-legalization) [420]",,
"Glace Bay, Nova Scotia, municipal [12014]",2010,"Total cocaine, trafficking, production or distribution [430]",,
"Glace Bay, Nova Scotia, municipal [12014]",2010,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution [440]",,
"Richmond County, Nova Scotia, Royal Canadian Mounted Police, rural [12016]",2010,Homicide [110],0,0
"Richmond County, Nova Scotia, Royal Canadian Mounted Police, rural [12016]",2010,Attempted murder [1210],0,0
"Richmond County, Nova Scotia, Royal Canadian Mounted Police, rural [12016]",2010,"Sexual assault, level 3, aggravated [1310]",0,0
"Richmond County, Nova Scotia, Royal Canadian Mounted Police, rural [12016]",2010,"Sexual assault, level 2, weapon or bodily harm [1320]",0,0
"Richmond County, Nova Scotia, Royal Canadian Mounted Police, rural [12016]",2010,"Sexual assault, level 1 [1330]",5,52.13
"Richmond County, Nova Scotia, Royal Canadian Mounted Police, rural [12016]",2010,Total sexual violations against children [130],1,10.43
"Richmond County, Nova Scotia, Royal Canadian Mounted Police, rural [12016]",2010,"Assault, level 3, aggravated [1410]",0,0
"Richmond County, Nova Scotia, Royal Canadian Mounted Police, rural [12016]",2010,"Assault, level 2, weapon or bodily harm [1420]",8,83.41
"Richmond County, Nova Scotia, Royal Canadian Mounted Police, rural [12016]",2010,"Assault, level 1 [1430]",70,729.85
"Richmond County, Nova Scotia, Royal Canadian Mounted Police, rural [12016]",2010,Total robbery [160],1,10.43
"Richmond County, Nova Scotia, Royal Canadian Mounted Police, rural [12016]",2010,Total breaking and entering [210],31,323.22
"Richmond County, Nova Scotia, Royal Canadian Mounted Police, rural [12016]",2010,Total theft of motor vehicle [220],5,52.13
"Richmond County, Nova Scotia, Royal Canadian Mounted Police, rural [12016]",2010,Total impaired driving [910],34,354.5
"Richmond County, Nova Scotia, Royal Canadian Mounted Police, rural [12016]",2010,Total Drug violations [401],39,406.63
